No,검색어,결과값
556,타이레놀 콜드,아세트아미노펜/슈도에페드린염산염/덱스트로메토르판브롬화수소산염수화물/클로르페니라민말레인산염
556,타이레놀 콜드,아세트아미노펜/슈도에페드린염산염/덱스트로메토르판브롬화수소산염/클로르페니라민말레산염
557,솔루샷쿨연질캡슐,아세트아미노펜/구아이페네신/슈도에페드린염산염/덱스트로메토르판브롬화수소산염수화물/클로르페니라민말레산염/dl-메틸에페드린염산염
558,센타민프로,레티놀아세테이트 과립/비스벤티아민/푸르설티아민/벤포티아민/리보플라빈/니코틴산아미드/판토텐산칼슘/피리독신염산염/비오틴/폴산/시아노코발라민 1000배산/아스코르브산/콜레칼시페롤농축분말/토코페롤아세테이트 2배산/침강탄산칼슘/염화칼륨/산화마그네슘/황산제이구리수화물/황산망간수화물/셀레늄함유건조효모/산화아연/감마-오리자놀/우르소데옥시콜산/유비데카레논/이노시톨/콜린타르타르산염/로얄젤리/황기/작약/당귀
559,비맥스메타 비,벤포티아민/비스벤티아민/리보플라빈/니코틴산아미드/판토텐산칼슘/피리독신염산염/d-비오틴/폴산/히드록소코발라민아세트산염/콜린타르타르산염/이노시톨/콜레칼시페롤농축분말/L-시스테인/산화아연/우르소데옥시콜산/셀레늄함유건조효모/산화마그네슘
559,비맥스메타 비,벤포티아민/비스벤티아민/리보플라빈/니코틴산아미드/판토텐산칼슘/피리독신염산염/D-비오틴/폴산/시아노코발라민/콜린타르타르산염/이노시톨/콜레칼시페롤농축분말/산화아연/우르소데옥시콜산/셀레늄함유건조효모/산화마그네슘
560,비맥스제트,벤포티아민/비스벤티아민/리보플라빈부티레이트/니코틴산아미드/판토텐산칼슘/피리독살포스페이트수화물/비오틴/폴산/메코발라민/제피아스코르브산/타우린/크롬함유건조효모/이노시톨/콜레칼시페롤농축분말/콜린타르타르산염/산화아연/우르소데옥시콜산/셀레늄함유건조효모/토코페롤아세테이트 2배산/감마-오리자놀/산화마그네슘
561,메가바이,벤포티아민/리보플라빈부티레이트/니코틴산아미드/판토텐산칼슘/피리독살포스페이트수화물/비오틴/폴산/히드록소코발라민아세트산염/이노시톨/콜린타르타르산염/제피아스코르브산/토코페롤아세테이트 2배산/산화아연/셀레늄함유건조효모/산화마그네슘/콜레칼시페롤과립/γ-오리자놀
561,메가바이,가자
562,벤포액티브 프리미엄정,벤포티아민/피리독신염산염
563,중외 멸균증류수,관류용멸균증류수
565,장편환,당귀/작약/천궁/창출/인삼/복령/육계/속미/이상수침건조엑스
566,로이디펜,엔테로코쿠스페칼리스 F-100균/로페라미드염산염/베르베린염화물수화물/아크리놀수화물
566,로이디펜,아크리놀수화물/베르베린염화물수화물/비스무트차질산염/스코폴리아 엑스10배산
567,듀오레,부데소니드/포르모테롤푸마르산염수화물
567,듀오레,부데소니드/포르모테롤푸마르산염수화물
568,스타빅,디옥타헤드랄스멕타이트
569,포타겔현탁액,디옥타헤드랄스멕타이트
570,장나환,장나환건조엑스(6.7->1)
571,에세푸릴캡슐,니푸록사지드
572,니라마이드산,아크리놀수화물/탄닌산/산화아연
573,아파베린,디시클로민염산염/파파베린염산염
574,파베린,파파베린염산염
574,파베린,파파베린염산염
575,우황청심원 환,감초/계피/작약/황금/방풍/백출/길경/복령/우황/산약/백삼/포황/신곡/대두황권/아교/천궁/맥문동/백렴/당귀/시호/행인/용뇌/영양각/건강
575,우황청심원 환,사향/감초/육계/작약/황금/방풍/백출/길경/복령/우황/산약/인삼/포황/신곡/대두황권/아교/맥문동/백렴/당귀/시호/행인/천궁/용뇌/영양각/건강
575,우황청심원 환,감초/계피/작약/황금/방풍/백출/길경/복령/우황/산약/백삼/포황/신곡/대두황권/아교/천궁/맥문동/백렴/당귀/시호/행인/용뇌/영양각/건강
575,우황청심원 환,사향/감초/육계/작약/황금/방풍/백출/길경/복령/우황/산약/인삼/포황/신곡/대두황권/아교/맥문동/백렴/당귀/시호/행인/천궁/용뇌/영양각/건강
577,우황청심원 현탁액,산약/감초/인삼/포황/신곡/대두황권/육계/아교/작약/맥문동/황금/당귀/방풍/백출/시호/복령/길경/행인/천궁/우황/영양각/사향/용뇌/백렴/건강
